,Actual,Predicted,Error,TA,SW_IN,VPD_PI,P,hour,Error_Percentage
1970-01-01 00:00:00.000125545,-94.59,3.3606202555679703,97.95062025556797,23.0,-1,0.424,0.0,0,103.55282826468756
1970-01-01 00:00:00.000134025,-98.727,-1.0530290026092974,97.67397099739071,0.4,0,0.0,0.0,0,98.9333930914448
1970-01-01 00:00:00.000149031,-95.409,1.0915380636600271,96.50053806366003,13.4,0,0.0,0.0,0,101.14406194767791
1970-01-01 00:00:00.000132853,-94.795,-1.4452783474617865,93.34972165253822,-1.8,-3,0.0,0.0,0,98.47536436788673
1970-01-01 00:00:00.000147671,-91.886,0.4429068286376102,92.3289068286376,6.7,55,0.099,0.0,0,100.48201774877306
1970-01-01 00:00:00.000120242,-93.181,-1.0164692815747405,92.16453071842525,1.3,7,0.0,0.0,0,98.90914533909837
1970-01-01 00:00:00.000123310,-90.909,1.2145615302920862,92.1235615302921,21.7,-2,0.605,0.0,0,101.33601901934031
1970-01-01 00:00:00.000141850,-89.136,0.5373164424277446,89.67331644242773,22.1,55,0.0,0.0,0,100.60280519927723
1970-01-01 00:00:00.000130675,-87.59,1.2507437759789608,88.84074377597896,7.5,37,0.0,0.0,0,101.42795270690598
1970-01-01 00:00:00.000132602,-87.454,1.1075974980286023,88.56159749802859,5.9,1,0.039,0.0,0,101.26649152471995
1970-01-01 00:00:00.000136132,-87.477,0.03251622133897355,87.50951622133898,3.9,1,0.035,0.0,0,100.0371711665226
1970-01-01 00:00:00.000121787,-87.181,-0.9639872391155475,86.21701276088444,0.2,63,0.083,0.0,0,98.89426911928568
1970-01-01 00:00:00.000119690,-86.295,-1.1899416851576585,85.10505831484234,1.0,43,0.022,0.0,0,98.62107690462058
1970-01-01 00:00:00.000120235,-82.613,2.0683950348983076,84.6813950348983,8.8,5,0.0,0.0,0,102.50371616440306
1970-01-01 00:00:00.000147153,-81.863,1.1206646955353892,82.9836646955354,11.3,-1,0.0,0.0,0,101.36895141338016
1970-01-01 00:00:00.000130219,-80.318,0.9970244309895155,81.31502443098951,10.9,-1,0.717,0.0,0,101.24134618764103
1970-01-01 00:00:00.000145812,-84.977,-3.8811898375353624,81.09581016246464,2.3,115,0.0,0.0,0,95.4326584398892
1970-01-01 00:00:00.000127632,-93.659,-13.085984095909986,80.57301590409003,24.5,268,0.17,0.0,0,86.02805486294966
1970-01-01 00:00:00.000122992,-77.5,2.8593032220994044,80.3593032220994,13.9,0,0.048,0.0,0,103.68942351238633
1970-01-01 00:00:00.000129532,-76.227,3.2860515413684697,79.51305154136847,21.1,6,0.149,0.0,0,104.31087612180522
1970-01-01 00:00:00.000120236,-76.75,1.6556565081209524,78.40565650812096,4.1,31,0.0,0.0,0,102.15720717670482
1970-01-01 00:00:00.000123329,-77.636,-0.2651757789885554,77.37082422101145,21.1,34,0.382,0.0,0,99.65843709234305
1970-01-01 00:00:00.000120960,-74.409,1.1696418583392778,75.57864185833928,9.8,-1,0.109,0.0,0,101.5719091216644
1970-01-01 00:00:00.000120143,-75.272,0.27490890984515765,75.54690890984516,0.8,0,0.0,0.0,0,100.36522067946268
1970-01-01 00:00:00.000137688,-74.704,-0.5544238487655049,74.14957615123448,18.8,139,0.033,0.0,0,99.25783914011899
1970-01-01 00:00:00.000127702,-68.795,4.1892979262509975,72.984297926251,21.2,-1,0.016,0.0,0,106.08953837670035
1970-01-01 00:00:00.000136423,-73.0,-0.527044298192908,72.4729557018071,11.8,52,0.0,0.0,0,99.27802150932479
1970-01-01 00:00:00.000149030,-70.545,1.206950528911771,71.75195052891178,13.5,0,0.0,0.0,0,101.71089450550963
1970-01-01 00:00:00.000148859,-71.409,-0.2891599499721447,71.11984005002786,5.7,0,0.046,0.0,0,99.5950651178813
1970-01-01 00:00:00.000136504,-71.954,-0.9013890312789069,71.05261096872108,11.5,16,0.0,0.0,0,98.74727043489047
